ts,asset,funding_received,premium_gain,cost,net,cluster
2024-02-26,1000PEPEUSDT,0.02002627,0.00105134,0.012,0.00907761,2024-02
2024-03-02,1000PEPEUSDT,0.01709055,-0.00013993000000000002,0.008,0.00895062,2024-03
2024-03-08,1000PEPEUSDT,0.01327639,-0.0015314299999999999,0.008,0.0037449600000000003,2024-03
2024-03-14,1000PEPEUSDT,0.005604600000000001,0.00147463,0.008,-0.0009207699999999987,2024-03
2024-11-12,1000PEPEUSDT,0.00351113,0.00026378999999999986,0.008,-0.004225080000000001,2024-11
2024-03-02,1000RATSUSDT,0.03061674,0.00138946,0.012,0.0200062,2024-03
2024-03-09,1000RATSUSDT,0.025480049999999997,0.00019870000000000022,0.012,0.013678749999999996,2024-03
2024-07-20,1000RATSUSDT,0.0026418699999999997,2.448e-05,0.008,-0.0053336500000000005,2024-07
2024-07-27,1000RATSUSDT,0.0013899500000000003,0.0031783899999999997,0.008,-0.0034316600000000004,2024-07
2024-09-07,1000RATSUSDT,0.00307371,2.350999999999999e-05,0.012,-0.00890278,2024-09
2024-09-19,1000RATSUSDT,0.00505554,0.0007738500000000001,0.012,-0.00617061,2024-09
2024-11-09,1000RATSUSDT,0.00892651,0.0003254,0.012,-0.00274809,2024-11
2024-11-14,1000RATSUSDT,0.01013479,-0.00069945,0.012,-0.0025646600000000016,2024-11
2024-11-19,1000RATSUSDT,0.010393590000000001,-0.0005639299999999999,0.012,-0.0021703399999999998,2024-11
2024-11-24,1000RATSUSDT,0.00654191,0.00140475,0.012,-0.004053340000000001,2024-11
2024-12-03,1000RATSUSDT,0.01711555,-8.904000000000003e-05,0.012,0.005026510000000001,2024-12
2024-12-08,1000RATSUSDT,0.00397336,-0.00144899,0.012,-0.009475629999999999,2024-12
2025-01-20,1000RATSUSDT,0.00504955,-0.00058407,0.012,-0.00753452,2025-01
2025-03-10,1000RATSUSDT,0.0025871800000000006,-0.00112948,0.012,-0.0105423,2025-03
2025-03-16,1000RATSUSDT,0.00507245,-0.00102767,0.012,-0.00795522,2025-03
2025-03-24,1000RATSUSDT,0.0051176,0.00606054,0.012,-0.0008218600000000006,2025-03
