date,open,high,low,close,volume,return,cum_return
2020-08-02,11801.17,12123.46,10518.5,11071.35,97553.077604,-0.06184302064964742,-0.42042888267916645
2020-08-03,11071.36,11473.0,10936.0,11219.81,56931.841475,0.013409385485961378,-0.4126571901504821
2020-08-04,11219.68,11414.98,11000.0,11191.97,58629.113709,-0.0024813254413399433,-0.4141145788073498
2020-08-05,11191.99,11780.93,11093.0,11744.91,74970.256852,0.04940506452393989,-0.3851688717696913
2020-08-06,11744.91,11900.0,11562.5,11762.46,63529.08502,0.0014942643238644582,-0.3842501515495754
2020-08-07,11762.47,11909.94,11322.0,11594.23,65755.926022,-0.014302280305310222,-0.3930567784800657
2020-08-08,11594.36,11808.27,11512.0,11761.41,41858.16104,0.014419241295023477,-0.3843051177165909
2020-08-09,11761.02,11797.11,11521.97,11681.68,41493.067342,-0.006778949122596689,-0.38847888199863334
2020-08-10,11681.69,12067.35,11450.0,11892.92,84952.337887,0.018083015456680895,-0.3774207361697278
2020-08-11,11892.9,11935.0,11125.0,11392.08,90748.284634,-0.04211245009635989,-0.40363907434880864
2020-08-12,11392.09,11617.52,11150.0,11564.33,64909.613644,0.015120153650606483,-0.39462200552174476
2020-08-13,11564.34,11792.96,11270.36,11780.0,70132.491502,0.0186495888650704,-0.3833319548167644
2020-08-14,11779.77,11850.0,11634.03,11760.54,59818.852697,-0.0016519524617996106,-0.384350661112118
2020-08-15,11760.55,11980.0,11680.0,11852.4,56237.90505,0.007810865827589497,-0.3795419067292206
2020-08-16,11852.4,11931.72,11686.0,11911.0,41368.236906,0.004944146333232036,-0.3764742711224518
2020-08-17,11910.99,12468.0,11769.78,12281.13,84734.21154,0.031074636890269458,-0.3570984355058414
2020-08-18,12281.15,12387.77,11817.93,11945.01,75923.835527,-0.02736881703882288,-0.37469389079845505
2020-08-19,11945.1,12020.08,11561.0,11754.59,73940.169606,-0.015941384728853314,-0.3846621360585393
2020-08-20,11754.38,11888.0,11668.0,11853.55,46085.254351,0.008418838938661244,-0.3794817056891563
2020-08-21,11853.54,11878.0,11485.81,11531.34,64448.306142,-0.027182573996819448,-0.39634899014064096
2020-08-22,11531.23,11686.0,11376.81,11662.96,43678.701646,0.01141411145625737,-0.38945885023342397
2020-08-23,11663.51,11718.07,11514.13,11648.13,37900.00469,-0.001271546845740712,-0.39023518190660456
2020-08-24,11648.12,11824.9,11585.09,11748.2,46212.391867,0.008591078567976362,-0.3849966444463764
2020-08-25,11748.19,11767.85,11117.64,11318.42,69590.923272,-0.03658262542346913,-0.4074950818367712
2020-08-26,11318.42,11539.32,11244.0,11461.43,53998.231231,0.012635155790295949,-0.4000086898892622
2020-08-27,11461.42,11592.2,11125.0,11330.38,63246.036383,-0.011434000818397072,-0.40686899102009955
2020-08-28,11330.38,11542.65,11276.89,11526.91,45953.908365,0.017345402360732898,-0.3965808950167157
2020-08-29,11526.9,11580.02,11417.04,11465.84,32973.7992,-0.005298037375150777,-0.39977783198779715
2020-08-30,11465.84,11719.0,11458.0,11711.16,43177.879054,0.021395728529266078,-0.3869356414237606
2020-08-31,11711.17,11800.77,11570.0,11649.51,55353.617744,-0.005264209523223928,-0.39016294065852675
2020-09-01,11649.51,12050.85,11515.0,11921.97,78148.193668,0.023388108169356325,-0.3759000055489662
2020-09-02,11921.97,11954.57,11160.1,11388.54,87221.845602,-0.044743444246210906,-0.4038243888547466
2020-09-03,11388.54,11462.6,9960.8,10140.85,121950.106015,-0.1095566244663495,-0.4691393764009836
2020-09-04,10138.29,10627.05,9875.5,10446.25,92733.599113,0.03011581869369917,-0.45315207410905156
2020-09-05,10446.25,10565.68,9825.0,10166.69,90001.605568,-0.02676175661122404,-0.4677866852050978
2020-09-06,10166.69,10347.14,9994.86,10256.2,56368.788815,0.008804242088624736,-0.463100950338854
2020-09-07,10255.89,10410.75,9875.0,10373.44,62620.230676,0.011431134338253823,-0.4569635851760966
2020-09-08,10373.45,10438.0,9850.0,10126.65,73491.878418,-0.02379056513557709,-0.46988272837395495
2020-09-09,10126.66,10343.0,9981.01,10219.2,49347.113776,0.009139251381256486,-0.46503785336701875
2020-09-10,10219.29,10483.35,10070.83,10336.87,58253.75375,0.011514599968686312,-0.4588779782501503
2020-09-11,10336.86,10397.6,10200.0,10387.89,43830.254467,0.004935730061420784,-0.45620714602050283
2020-09-12,10387.89,10477.97,10269.25,10440.92,35379.153096,0.005104982821342974,-0.45343109284256844
2020-09-13,10440.67,10580.11,10200.0,10332.83,43837.609865,-0.01035253598341912,-0.4590894671213338
2020-09-14,10332.84,10750.0,10212.34,10671.77,67059.291361,0.03280224294796308,-0.44134638840873563
2020-09-15,10671.77,10930.04,10606.48,10785.31,61822.452786,0.010639284767194113,-0.4354027135487947
2020-09-16,10785.23,11093.0,10661.22,10954.01,64991.51244,0.015641645905402957,-0.4265714827149736
2020-09-17,10954.01,11045.46,10745.83,10939.99,55601.614529,-0.001279896585816509,-0.42730541191645655
2020-09-18,10940.0,11038.03,10812.84,10933.39,47266.728275,-0.0006032912278713942,-0.4276509135376968
2020-09-19,10933.4,11179.79,10887.37,11080.65,38440.036858,0.013468832631050365,-0.4199420394856015
2020-09-20,11080.64,11080.64,10723.0,10920.28,39157.922565,-0.014472977668277487,-0.428337205394433
2020-09-21,10920.28,10988.86,10296.35,10417.22,70683.431179,-0.04606658437329458,-0.45467175775520374
2020-09-22,10417.22,10572.71,10353.0,10529.61,43991.235476,0.010788866895390603,-0.4487882839353273
2020-09-23,10529.61,10537.15,10136.82,10241.46,51876.568079,-0.027365685908595005,-0.46387257062629084
