symbol,coingecko_id,venue,cg_lc,dim_asset_id,in_dim_asset,in_fact_price
BEAM,beam-2,BINANCE,beam-2,,False,False
GOMINING,gmt-token,BINANCE,gmt-token,,False,False
BRBTC,bedrock-btc,BINANCE,bedrock-btc,,False,False
META,meta-2-2,BINANCE,meta-2-2,,False,False
AMP,amp-token,BINANCE,amp-token,,False,False
RLP,resolv-rlp,BINANCE,resolv-rlp,,False,False
EURS,stasis-eurs,BINANCE,stasis-eurs,,False,False
MF-ONE,midas-mf-one,BINANCE,midas-mf-one,,False,False
AXS,axie-infinity,BINANCE,axie-infinity,,False,False
B,build-on,BINANCE,build-on,,False,False
BRETT,based-brett,BINANCE,based-brett,,False,False
SOETH,wrapped-ethereum-sollet,BINANCE,wrapped-ethereum-sollet,,False,False
TKX,tokenize-xchange,BINANCE,tokenize-xchange,,False,False
OETH,origin-ether,BINANCE,origin-ether,,False,False
LPT,livepeer,BINANCE,livepeer,,False,False
DYDX,dydx-chain,BINANCE,dydx-chain,,False,False
SOL,binance-peg-sol,BINANCE,binance-peg-sol,,False,False
USDC,bridged-usd-coin-starkgate,BINANCE,bridged-usd-coin-starkgate,,False,False
SUPER,superfarm,BINANCE,superfarm,,False,False
