asset,system,rule,event_kind,n_events,p_confirm,cost_of_waiting_per_confirmed,loss_avoided_per_failed,expected_value_per_signal,ev_ci_lo,ev_ci_hi,breakeven_p_confirm,total_cost_of_waiting,total_loss_avoided,net_per_year,left_tail_p05,worst,best
BTC,LL3_k0.30,M3_linear,to_neutral,44,0.9318181818181818,0.0018620008937412333,-0.0,0.0017350462873497855,-0.0012765861849677272,0.004742448593028974,-0.0,0.07634203664339057,-0.0,0.0076081661347881056,-0.009483824958584365,-0.03217300078473117,0.03005126385259038
BTC,LL3_k0.30,M3_linear,to_short,22,1.0,0.0,,,0.0,0.0,,0.0,-0.0,0.0,0.0,0.0,0.0
BTC,LL2_k0.30,M1_1close,all,24,1.0,0.011514750549660025,,,-0.007312092053764203,0.03182200765416203,,0.2763540131918406,-0.0,0.027639184917393148,-0.05030156189716051,-0.0747646871299037,0.12797560457132917
BTC,LL2_k0.30,M1_1close,to_long,12,1.0,0.021998766589694674,,,-0.00689041390382666,0.05472266894606464,,0.2639851990763361,-0.0,0.026783498322953268,-0.055007091005219014,-0.0747646871299037,0.12797560457132917
BTC,LL2_k0.30,M1_1close,to_short,12,1.0,0.001030734509625375,,,-0.020406324425806276,0.024446790246034487,,0.0123688141155045,-0.0,0.0012644022825883065,-0.048118003866855386,-0.05112039615852493,0.077158577848629
BTC,LL2_k0.30,M2_2close,all,24,1.0,-0.005185801410154178,,,-0.0204275226825778,0.009923847372281535,,-0.12445923384370028,-0.0,-0.012447627371689902,-0.049807980931962204,-0.11343192312440586,0.09229460539846157
BTC,LL2_k0.30,M2_2close,to_long,12,1.0,0.007306484669302116,,,-0.011236159249461313,0.02821028604986077,,0.08767781603162539,-0.0,0.008895645084875326,-0.04064495891218206,-0.051487881926571166,0.09229460539846157
BTC,LL2_k0.30,M2_2close,to_short,12,1.0,-0.017678087489610472,,,-0.039781653964317834,-0.0002716430675349566,,-0.21213704987532567,-0.0,-0.02168571437642393,-0.07320306348536391,-0.11343192312440586,0.024802106499533072
BTC,LL2_k0.30,M3_linear,all,24,1.0,0.0021098617108303488,,,-0.007291583788074638,0.01315300053074126,,0.05063668105992837,-0.0,0.005064361379282266,-0.029274238929769637,-0.042083759736281305,0.06621881637235016
BTC,LL2_k0.30,M3_linear,to_long,12,1.0,0.009768511053074748,,,-0.005340085989756244,0.026534601854498904,,0.11722213263689699,-0.0,0.011893162207118507,-0.03188382316198901,-0.042083759736281305,0.06621881637235016
BTC,LL2_k0.30,M3_linear,to_short,12,1.0,-0.005548787631414049,,,-0.014649343586380611,0.004661092589947946,,-0.06658545157696859,-0.0,-0.0068066991851351176,-0.027671182828121577,-0.02987538496788766,0.02443638773204404
ETH,GERHARD_SMA120,M1_1close,all,74,0.5540540540540541,0.008478576122245403,0.05360534403767391,-0.0192074963815024,-0.04103806889738826,-0.0011619328099293424,0.863433621775078,0.3476216210120615,1.768976353243239,-0.14452945878269424,-0.15725447471256856,-0.30279227421412924,0.11455256865985108
