feature,bucket,n_events,p_confirm,cost_of_waiting_per_confirmed,loss_avoided_per_failed,expected_value_per_signal,ev_ci_lo,ev_ci_hi,breakeven_p_confirm,total_cost_of_waiting,total_loss_avoided,net_per_year,left_tail_p05,worst,best,asset,system,rule
brk_vol,1.5-2,1,,,,,,,,,,,,,,ETH,GERHARD_SMA120,M1_1close
brk_vol,2-2.5,2,,,,,,,,,,,,,,ETH,GERHARD_SMA120,M1_1close
brk_vol,2.5-3,2,,,,,,,,,,,,,,ETH,GERHARD_SMA120,M1_1close
brk_vol,>3,5,1.0,-0.05988892478122691,,,-0.1846897385178778,0.05832585026186747,,-0.2994446239061346,-0.0,-0.03353945074569631,-0.26815870709267386,-0.30279227421412924,0.11455256865985108,ETH,GERHARD_SMA120,M1_1close
range_breakout_20,<0.5,59,0.4745762711864407,0.014114322421316121,0.04966381556444854,-0.01939622465595005,-0.038966301949459506,-0.003959523083820607,0.7786965429366023,0.3952010277968514,1.5395782824979047,-0.11956058131566351,-0.13733741132640137,-0.26464150598658076,0.1010927908438487,ETH,GERHARD_SMA120,M1_1close
range_breakout_20,0.5-1,5,0.8,0.026179831278723392,0.07101940299797183,0.006739984423384353,-0.03362852958779067,0.038995310403877805,0.7306580502044104,0.10471932511489357,0.07101940299797183,0.0069581099792004894,-0.05812316674929714,-0.07101940299797183,0.051958744927171674,ETH,GERHARD_SMA120,M1_1close
range_breakout_20,1-1.5,3,1.0,-0.059323089898043246,,,,,,-0.17796926969412974,-0.0,-0.02326530986248421,-0.2675235120512625,-0.30279227421412924,0.07492765710546145,ETH,GERHARD_SMA120,M1_1close
range_breakout_20,1.5-2,1,,,,,,,,,,,,,,ETH,GERHARD_SMA120,M1_1close
range_breakout_20,2-2.5,2,,,,,,,,,,,,,,ETH,GERHARD_SMA120,M1_1close
range_breakout_20,2.5-3,1,,,,,,,,,,,,,,ETH,GERHARD_SMA120,M1_1close
range_breakout_20,>3,3,1.0,0.0019231671276257467,,,,,,0.00576950138287724,-0.0,0.0008963463973185504,-0.11457785761317918,-0.12962443860685224,0.11455256865985108,ETH,GERHARD_SMA120,M1_1close
trend_agree_count,0-2,4,0.5,0.029046690162200295,0.047967836471250413,-0.00946057315452506,,,0.6228414114593276,0.05809338032440059,0.09593567294250083,-0.008725945314874438,-0.09504581193831485,-0.11238339629890515,0.054892880886037165,ETH,GERHARD_SMA120,M1_1close
trend_agree_count,3-4,36,0.4166666666666667,0.005125253772989454,0.0641275984634047,-0.03527224336490713,-0.07298365283298226,-0.005963070880624067,0.9259921633914161,0.07687880659484181,1.3466795677314987,-0.1329686720198291,-0.23714264782244182,-0.30279227421412924,0.1010927908438487,ETH,GERHARD_SMA120,M1_1close
trend_agree_count,5-6,28,0.6785714285714286,0.013184211727871238,0.02837130106347421,-0.00017291738363265502,-0.018576339071626834,0.02146452131848294,0.6827325463634503,0.2505000228295535,0.2553417095712679,-0.0005429616464265192,-0.10927760663333114,-0.15664914000152552,0.11455256865985108,ETH,GERHARD_SMA120,M1_1close
trend_agree_count,7-8,6,0.8333333333333334,-0.007570117747346883,0.07101940299797183,-0.018144998622451038,-0.06882095753903202,0.025785351788139864,1.1193097403295384,-0.037850588736734414,0.07101940299797183,-0.017634041898492884,-0.11497317970463214,-0.12962443860685224,0.042398343518904924,ETH,GERHARD_SMA120,M1_1close
ret_z20,<0.5,44,0.9772727272727273,-0.0032007066231285798,0.1644397656022354,-0.006865230690835549,-0.020013463300195718,0.004778867095499591,1.0198506902942377,-0.13763038479452894,0.1644397656022354,-0.03168613510408333,-0.049117434005708525,-0.1644397656022354,0.08843363673166715,ETH,LL3_k0.30,M1_1close
